year,local_authority,properties_returned_k,lpt_collected_�m
2021,Carlow,21.9,3.8
2021,Cavan,29.4,4.8
2021,Clare,50.8,10.9
2021,Cork City,82.4,21.4
2021,Cork County,131.9,32.1
2021,Donegal,69.8,12.1
2021,Dublin City,222,66.5
2021,Dun Laoghaire Rathdown,81.8,50.8
2021,Fingal,100,31.3
2021,Galway City,31.2,8.1
2021,Galway County,69.1,13.6
2021,Kerry,66.4,14.7
2021,Kildare,76.2,20.9
2021,Kilkenny,35.4,8
2021,Laois,29,4.9
2021,Leitrim,15.5,2.3
2021,Limerick City and County,76,16.8
2021,Longford,16.4,2.4
2021,Louth,47.8,8.7
2021,Mayo,57.2,10.9
2021,Meath,65.9,15.6
2021,Monaghan,22.1,4.1
2021,Offaly,27.3,5.1
2021,Roscommon,26.9,4.3
2021,Sligo,29.2,5.8
2021,South Dublin ,94.6,24.6
2021,Tipperary,62.7,12.3
2021,Waterford City and County,49.3,10.1
2021,Westmeath,34.4,6.8
2021,Wexford,61.9,12.6
2021,Wicklow,51.2,16.3
